"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/07 6:38:59 PM GMT+5:30","Masters","Arts","Political Science","IV","PG/Rented","Male","OBC","Excellent","Good","Good","Very Good","Excellent","Good","Below Average","Very Good","Very Good","Average","Good","Excellent","Very Good","Very Good","Good","Excellent","Good","Very Good","Very Good","Below Average","Good","Good","Good","Below Average","Don't know","Don't know","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Below Average","Averge","Averge","Good","Good","Averge","Averge","Averge","Averge","Averge","Good","Good","Very Good","Improve hostel facility for all students"
"2022/04/07 6:39:18 PM GMT+5:30","Masters","Social Sciences","Department of Political Science ","IV","PG/Rented","Male","General","Very Good","Good","Average","Good","Very Good","Average","Good","Good","Very Good","Not applicable","Very Good","Not applicable","Very Good","Very Good","Good","Average","Below Average","Average","Good","Average","Average","Below Average","Don't know","Don't know","Below Average","Good","Good","Very Good","Good","Good","Good","Good","Good","Don't Know","Below Average","Not  Applicable","Not  Applicable","Very Good","Good","Not Applicable","Good","Not Applicable","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","More student friendly environment, placement opportunities "
"2022/04/07 6:39:33 PM GMT+5:30","Masters","Social Sciences","Department of political science ","IV","PG/Rented","Female","General","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Not applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","No"
"2022/04/07 6:42:33 PM GMT+5:30","Masters","Arts","Department of Political Science","IV","Local","Male","General","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Good","Good","Average","Average","Good","Very Good","Average","Good","Good","Average","Below Average","Below Average","Average","Averge","Averge","Averge","Good","Averge","Averge","Averge","Averge","Averge","Averge","Average","Average","N/A"
"2022/04/07 6:43:09 PM GMT+5:30","Masters","Social Sciences","Department of political science","IV","Other","Male","OBC","Good","Average","Below Average","Average","Below Average","Average","Below Average","Below Average","Average","Below Average","Excellent","Good","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Excellent","Excellent","Excellent","Below Average","Not applicable","Below Average","Average","Average","Below Average","Below Average","Below Average","Good","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Below Average","Averge","Average","Average","My intention is to integrate practical method in theoretical teaching learning process"
"2022/04/07 6:44:06 PM GMT+5:30","Masters","Social Sciences","Department of political science","IV","PG/Rented","Female","SC","Very Good","Average","Average","Average","Good","Below Average","Not applicable","Very Good","Good","Not applicable","Good","Not applicable","Average","Not applicable","Not applicable","Good","Below Average","Average","Very Good","Below Average","Good","Average","Not applicable","Not applicable","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Below Average","Very Good","Below Average","Good","Average","Not  Applicable","Not  Applicable","Good","Averge","Not Applicable","Averge","Not Applicable","Very Good","Very Good","Good","Averge","Very Good","Good","Good","Seminar should be held every week and there should be a cafeteria in department area."
"2022/04/07 6:45:39 PM GMT+5:30","Masters","Social Sciences","Political Science","I","Local","Female","EWS","Good","Average","Below Average","Average","Average","Below Average","Average","Good","Good","Average","Very Good","Good","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Below Average","Good","Good","Good","Good","Average","Very Good","Average","Average","Below Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Very Good","Incorporation of research papers and thesis writing for further studies while doing MA"
"2022/04/07 6:45:42 PM GMT+5:30","Masters","Social Sciences","Political science ","I","Hostel","Female","General","Very Good","Good","Don't know","Good","Very Good","Not applicable","Don't know","Very Good","Very Good","Don't know","Very Good","Not applicable","Excellent","Don't know","Very Good","Don't know","Don't know","Very Good","Very Good","Don't know","Good","Good","Excellent","Good","Good","Good","Very Good","Don't Know","Average","Good","Don't Know","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Don't Know","Very Good","Don't Know","Good","Good","Very Good","Very Good","Very Good","Good","Very Good","-"
"2022/04/07 6:46:00 PM GMT+5:30","Masters","Arts","Department of political t","I","NCR","Male","SC","Very Good","Good","Average","Good","Good","Below Average","Not applicable","Not applicable","Excellent","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Very Good","Good","Below Average","Good","Below Average","Excellent","Excellent","Below Average","Average","Excellent","Excellent","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Excellent","Not Applicable","Very Good","Very Good","Below Average","Very Good","Excellent","Good","Very Good","Very Good","Good","Excellent","Please have all classes from next semester in only one mode either offline or online because it creates lot of problem in management for studies "
"2022/04/07 6:46:07 PM GMT+5:30","Masters","Social Sciences","Political Science ","I","PG/Rented","Male","General","Excellent","Excellent","Below Average","Good","Good","Below Average","Below Average","Average","Very Good","Below Average","Not applicable","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Not applicable","Below Average","Average","Average","Below Average","Below Average","Good","Good","Excellent","Excellent","Excellent","Excellent","Not  Applicable","Not  Applicable","Not  Applicable","Below Average","Not  Applicable","Not  Applicable","Not  Applicable","Excellent","Averge","Excellent","Excellent","Below Average","Very Good","Averge","Good","Good","Good","Average","Very Good","Kindly please ask the guest faculties to be polite to the student😣"
"2022/04/07 6:46:27 PM GMT+5:30","Masters","Social Sciences","Political Science","IV","Other","Female","SC","Average","Below Average","Average","Below Average","Average","Below Average","Average","Average","Good","Don't know","Don't know","Don't know","Average","Not applicable","Average","Good","Average","Very Good","Good","Average","Below Average","Below Average","Not applicable","Not applicable","Very Good","Very Good","Average","Average","Good","Good","Below Average","Good","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Good","Averge","Good","Good","Need to be Developed the Creative and Critical Research Skills within Students so that it will help the Students to think in particular dimensions. "
"2022/04/07 6:47:14 PM GMT+5:30","Masters","Arts","Political science ","I","Hostel","Female","ST","Good","Average","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Average","Average","Good","Below Average","Average","Average","Average","Good","Good","Average","Good","Good","Below Average","Below Average","Good","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","NA"
"2022/04/07 6:48:02 PM GMT+5:30","Masters","Social Sciences","Political science","I","PG/Rented","Female","General;EWS","Very Good","Very Good","Very Good","Don't know","Good","Don't know","Don't know","Good","Good","Not applicable","Very Good","Very Good","Don't know","Not applicable","Not applicable","Very Good","Very Good","Excellent","Excellent","Good","Excellent","Average","Not applicable","Average","Good","Good","Good","Very Good","Excellent","Very Good","Not  Applicable","Not  Applicable","Not  Applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Not Applicable","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Evaluation process need to be speedy, so we can enhance our performance. "
"2022/04/07 6:48:53 PM GMT+5:30","Masters","Social Sciences","Political Science","I","Local","Female","General","Good","Average","Good","Good","Very Good","Below Average","Good","Excellent","Very Good","Average","Very Good","Good","Good","Good","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Below Average","Average","Don't know","Excellent","Don't know","Good","Good","Below Average","Good","Good","Good","Very Good","Average","Below Average","Good","Good","Very Good","Very Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Don't Know","Kindly fix the website and streamline the release of notices so that students receive them timely"
"2022/04/07 6:49:18 PM GMT+5:30","Masters","Social Sciences","Political science ","I","PG/Rented","Male","OBC","Excellent","Average","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Good","Not applicable","Excellent","Not applicable","Good","Not applicable","Below Average","Below Average","Average","Good","Good","Good","Below Average","Below Average","Below Average","Below Average","Good","Good","Good","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Good","Abc"
"2022/04/07 6:50:01 PM GMT+5:30","Masters","Social Sciences","Department of Political Science","I","Local","Female","General","Excellent","Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Very Good","Below Average","Very Good","Good","Good","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Good","Excellent","--"
"2022/04/07 6:50:07 PM GMT+5:30","Masters","Social Sciences","Political science ","I","PG/Rented","Female","EWS","Very Good","Excellent","Excellent","Excellent","Excellent","Good","Average","Excellent","Excellent","Don't know","Excellent","Don't know","Excellent","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Don't know","Don't know","Don't know","Don't know","Very Good","Very Good","Excellent","Excellent","Don't Know","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Don't Know","Excellent","Very Good","Good","Very Good","Don't Know","Very Good","Excellent","Very Good","Don't Know","Excellent","Good","Good","Very good experience "
"2022/04/07 6:50:29 PM GMT+5:30","Masters","Social Sciences","POLITICAL SCIENCE","I","PG/Rented","Female","OBC","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Below Average","Average","Average","Average","Below Average","Average","Average","Good","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Averge","Average","Average","There's is need to build more infrastructural facilities for the students in terms of hostels and better classrooms. Along with a proper setup system for professor-student community to be buildup. More emphasis on research and group projects to be given. "
"2022/04/07 6:50:34 PM GMT+5:30","Masters","Arts","Political science","IV","PG/Rented","Male","EWS","Average","Average","Good","Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Average","Below Average","Good","Good","Good","Good","Averge","Good","Good","Averge","Good","Averge","Good","Excellent","Just the interaction and facilities should be upgraded"
"2022/04/07 6:50:45 PM GMT+5:30","Masters","Social Sciences","Department of Political Science ","I","PG/Rented","Female","OBC","Very Good","Average","Average","Good","Good","Below Average","Average","Good","Good","Average","Good","Good","Average","Average","Average","Below Average","Average","Good","Good","Below Average","Average","Average","Below Average","Below Average","Good","Below Average","Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Good","Good","Average","Kindly,  improve the classroom infrastructure   and adoption of innovative teaching skills and career counseling.  Also, provide internship opportunities to have both academic as well as practical experience  , which would help in developing a creative  CV . Thus, better prospect for getting job in different areas. 
Thankyou ."
"2022/04/07 6:51:07 PM GMT+5:30","Masters","Social Sciences","Department of Political science ","IV","PG/Rented","Male","EWS","Good","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Average","Average","Below Average","Average","Average","Good","Average","Below Average","Below Average","Below Average","Good","Good","Average","Good","Average","Average","Average","Good","Average","Average","Average","Good","Averge","Averge","Averge","Averge","Good","Averge","Averge","Averge","Good","Good","Good",".."
"2022/04/07 6:51:14 PM GMT+5:30","Masters","Social Sciences","Department of Political Science ","I","Local","Female","General","Good","Good","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Not applicable","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","More orientation towards Research and provide more choices when it comes to optional papers in final year "
"2022/04/07 6:51:37 PM GMT+5:30","Masters","Social Sciences","Political science","I","PG/Rented","Female","General","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Good","Average","Average","Average","Average","Good","Average","Very Good","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Average","Average","Need to me more interactive and non traditional means of teaching should be encouraged. Moreover, library should be open 24 hrs so that innovative minds can work in full potential. "
"2022/04/07 6:52:12 PM GMT+5:30","Masters","Arts","Ma political science","I","Local","Female","SC","Average","Good","Average","Good","Below Average","Below Average","Below Average","Below Average","Average","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Average","Not applicable","Below Average","Average","Average","Not  Applicable","Not  Applicable","Average","Average","Below Average","Don't Know","Don't Know","Don't Know","Don't Know","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Overwhelming syllabus. Not enough guidance."
"2022/04/07 6:52:19 PM GMT+5:30","Masters","Arts","POLITICAL SCIENCE DEPARTMENT","IV","PG/Rented","Male","General","Very Good","Very Good","Good","Good","Very Good","Average","Good","Very Good","Very Good","Don't know","Very Good","Good","Average","Excellent","Below Average","Very Good","Below Average","Very Good","Very Good","Below Average","Average","Very Good","Don't know","Don't know","Below Average","Below Average","Good","Very Good","Very Good","Very Good","Average","Don't Know","Average","Don't Know","Average","Don't Know","Don't Know","Very Good","Very Good","Very Good","Excellent","Not Applicable","Very Good","Good","Very Good","Very Good","Very Good","Excellent","Excellent","Fees should be reduced , There should be more Professors with specialization , Canteen should be opened, Results should not be declared late "
"2022/04/07 6:53:21 PM GMT+5:30","Masters","Social Sciences","Political science ","I","NCR","Female","General","Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Good","Good","Good","Average","Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Averge","Below Average","Averge","Averge","Averge","Below Average","Averge","Averge","Below Average","Below Average","No"
"2022/04/07 6:53:53 PM GMT+5:30","Masters","Social Sciences","Political Science ","IV","PG/Rented","Male","General","Very Good","Good","Average","Good","Excellent","Good","Good","Very Good","Excellent","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Below Average","Below Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Good","Good","Good","Below Average","Below Average","Below Average","Below Average","Good","Good","Averge","Very Good","Averge","Good","Averge","Good","Averge","Very Good","Very Good","Very Good","No suggestions"
"2022/04/07 6:54:15 PM GMT+5:30","Masters","Social Sciences","Political science","Beyond VI","Other","Female","OBC","Good","Average","Average","Average","Good","Average","Average","Average","Good","Not applicable","Very Good","Not applicable","Not applicable","Not applicable","Not applicable","Average","Average","Good","Good","Below Average","Average","Below Average","Average","Not applicable","Good","Good","Below Average","Below Average","Good","Good","Good","Good","Average","Don't Know","Don't Know","Don't Know","Don't Know","Good","Good","Don't Know","Good","Good","Good","Good","Good","Averge","Very Good","Good","Very Good","No"
"2022/04/07 6:55:01 PM GMT+5:30","Masters","Arts","Department  of Political  science","I","PG/Rented","Female","General","Good","Average","Below Average","Good","Average","Good","Not applicable","Very Good","Good","Not applicable","Below Average","Don't know","Don't know","Don't know","Don't know","Below Average","Average","Average","Average","Don't know","Excellent","Below Average","Not applicable","Not applicable","Not applicable","Not applicable","Good","Below Average","Don't Know","Don't Know","Don't Know","Don't Know","Average","Not  Applicable","Not  Applicable","Don't Know","Don't Know","Good","Don't Know","Not Applicable","Good","Not Applicable","Excellent","Don't Know","Averge","Averge","Good","Don't Know","Good","The University really needs to updgrade their management system. "
"2022/04/07 6:55:03 PM GMT+5:30","Masters","Social Sciences","Department of political science","I","NCR","Female","EWS","Average","Average","Average","Average","Average","Below Average","Not applicable","Average","Average","Not applicable","Very Good","Not applicable","Below Average","Not applicable","Average","Good","Average","Excellent","Good","Good","Good","Below Average","Good","Good","Good","Very Good","Very Good","Very Good","Average","Good","Below Average","Don't Know","Below Average","Don't Know","Don't Know","Very Good","Don't Know","Good","Good","Good","Good","Not Applicable","Good","Good","Good","Below Average","Very Good","Good","Good","No"
"2022/04/07 6:55:03 PM GMT+5:30","Masters","Social Sciences","Department of political science ","I","PG/Rented","Male","General","Very Good","Average","Good","Average","Below Average","Below Average","Below Average","Below Average","Good","Below Average","Good","Good","Below Average","Below Average","Below Average","Average","Average","Good","Good","Average","Good","Good","Average","Average","Good","Good","Very Good","Good","Very Good","Very Good","Average","Average","Average","Average","Average","Average","Average","Good","Averge","Averge","Averge","Averge","Averge","Averge","Below Average","Averge","Good","Average","Good","Improvement of student teacher interaction and going beyond traditional academic spaces to help in getting a critical perspective rather than rote learning "
"2022/04/07 6:55:40 PM GMT+5:30","Masters","Social Sciences","Political science ","I","PG/Rented","Female","OBC","Good","Good","Good","Average","Good","Good","Good","Average","Average","Average","Good","Average","Average","Average","Average","Average","Average","Good","Good","Average","Average","Average","Average","Average","Good","Good","Average","Good","Average","Very Good","Good","Good","Good","Average","Average","Good","Good","Good","Good","Averge","Good","Averge","Good","Averge","Good","Averge","Good","Good","Very Good","No"
"2022/04/07 6:55:47 PM GMT+5:30","Masters","Social Sciences","Political science ","I","Local","Female","General","Good","Average","Average","Average","Good","Good","Good","Good","Average","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Good","Average","Good","Good","Average","Good","Good","Good","Not applicable","Good","Good","Good","Average","Good","Good","Average","Not  Applicable","Not  Applicable","Good","Not  Applicable","Not  Applicable","Not  Applicable","Good","Good","Not Applicable","Averge","Good","Averge","Averge","Averge","Averge","Good","Good","Good","Better time management mechanism "
